Embalse,Periodo,Codigo EC,Caudal,Codigo EP,Precipitacion
Tomine,2024-1s,3107250,,21200780,86.4333333333333
Tomine,2024-2s,3107250,,21200780,95.55
Tomine,2025-1s,3107250,,,
Sisga,2015-1s,3107250,114.432416321045,21200620,131.783333333333
Sisga,2015-2s,3107250,166.288938709677,21200620,126.033333333333
Sisga,2016-1s,3107250,122.000351594364,21200620,126.9
Sisga,2016-2s,3107250,184.952069713262,21200620,136.266666666667
Sisga,2017-1s,3107250,114.74212890425,21200620,118.516666666667
Sisga,2017-2s,3107250,171.888636917563,21200620,138.2
Sisga,2018-1s,3107250,160.04827109575,21200620,126.6
Sisga,2018-2s,3107250,170.304883691756,21200620,120.45
Sisga,2019-1s,3107250,111.070863940092,21200620,111.133333333333
Sisga,2019-2s,3107250,151.342640681004,21200620,105.933333333333
Sisga,2020-1s,3107250,90.8850108515635,21200620,75.8666666666667
Sisga,2020-2s,3107250,146.953855197133,21200620,99.8
Sisga,2021-1s,3107250,131.793515745008,21200620,92.9
Sisga,2021-2s,3107250,202.182136363636,21200620,99.6
Sisga,2022-1s,3107250,,21200620,88.2
Sisga,2022-2s,3107250,,21200620,114.733333333333
Sisga,2023-1s,3107250,,21200620,111.666666666667
Sisga,2023-2s,3107250,,21200620,93.9
Sisga,2024-1s,3107250,,21200620,103.683333333333
Sisga,2024-2s,3107250,,21200620,95.8166666666667
Sisga,2025-1s,3107250,,21200620,107.916666666667
Guavio,2015-1s,3107250,114.432416321045,35060100,183.24
Guavio,2015-2s,3107250,166.288938709677,35060100,
Guavio,2016-1s,3107250,122.000351594364,35060100,182.95
Guavio,2016-2s,3107250,184.952069713262,35060100,205.583333333333
Guavio,2017-1s,3107250,114.74212890425,35060100,211.483333333333
Guavio,2017-2s,3107250,171.888636917563,35060100,136.916666666667
Guavio,2018-1s,3107250,160.04827109575,35060100,194.883333333333
Guavio,2018-2s,3107250,170.304883691756,35060100,172.816666666667
Guavio,2019-1s,3107250,111.070863940092,35060100,188.3
Guavio,2019-2s,3107250,151.342640681004,35060100,179.683333333333
Guavio,2020-1s,3107250,90.8850108515635,35060100,36.6
Guavio,2020-2s,3107250,146.953855197133,35060100,129.225
Guavio,2021-1s,3107250,131.793515745008,35060100,213.483333333333
Guavio,2021-2s,3107250,202.182136363636,35060100,186.833333333333
Guavio,2022-1s,3107250,,35060100,177.266666666667
Guavio,2022-2s,3107250,,35060100,162.633333333333
Guavio,2023-1s,3107250,,35060100,188.95
Guavio,2023-2s,3107250,,35060100,158.166666666667
Guavio,2024-1s,3107250,,35060100,190.333333333333
Guavio,2024-2s,3107250,,35060100,148.65
Guavio,2025-1s,3107250,,,
