idDataset,nombreConjuntoDatos,fechaPublicacion,fechaActualizacion,inicioDato,finDato,fechaDescarga,urlConexionAPI,urlConjuntoDatos,tipoPublicacion
e71658,Montos de garantías y mecanismos alternativos para cubrir las transacciones en el mercado de energía mayorista,2023-09-26T03:29:52.487,2025-11-18T09:12:23.737,2022-01-01T00:00:00,2025-10-01T00:00:00,2025-02-21T16:42:25.033,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=e71658,https://www.simem.co/datadetail/e7165858-6ab1-4edf-a4d1-ca4382fa7587,Público
94F4A5,Causas Generación Seguridad,2025-07-07T14:17:57.277,2025-12-13T10:28:16.463,2021-01-01T00:00:00,2025-12-10T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=94F4A5,https://www.simem.co/datadetail/94f4a58c-ac35-4a66-9baf-cabe8ad4be45,Público
70E9A6,Deltas incremento nacional e internacional,2025-07-07T14:18:36.45,2025-12-13T10:28:09.07,2021-01-01T00:00:00,2025-12-10T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=70E9A6,https://www.simem.co/datadetail/70e9a685-03bc-4e44-9dc6-cb10bee412fd,Público
909809,Precio de Oferta de Arranque y Parada por recurso USD,2023-09-29T18:04:08.527,2025-07-29T20:35:51.72,2015-04-01T00:00:00,2025-04-01T00:00:00,2024-10-02T14:48:48.24,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=909809,https://www.simem.co/datadetail/90980975-7d16-4ea7-aee3-cbe44c99b323,Público
c6f395,Procedimiento de retiro de agentes según la Res. CREG 156 de 2011,2023-09-29T22:02:02.67,2025-12-13T07:18:41.943,2013-02-15T00:00:00,2025-11-21T00:00:00,2025-02-11T09:29:42.457,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=c6f395,https://www.simem.co/datadetail/c6f395ba-7187-4073-af1f-cbedf16d7b80,Público
b73e3c,Energía promedio mensual de contratos con UNR por mercado de comercialización,2023-09-30T16:28:19.18,2025-11-20T03:27:14.32,2023-01-01T00:00:00,2030-11-01T00:00:00,2025-03-30T18:12:48.89,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=b73e3c,https://www.simem.co/datadetail/b73e3c9e-6b98-47e0-93ca-cc6f6d2d4f29,Público
0837f0,Consumo de Combustible Energético Mediano Plazo,2023-10-13T08:02:26.323,2025-12-07T19:20:13.073,2022-01-03T00:00:00,2027-11-29T00:00:00,2025-03-04T09:47:39.7,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=0837f0,https://www.simem.co/datadetail/0837f055-ddda-4100-b546-ccfd7f879f26,Público
3cf0d1,Precios horarios futuros y estadísticas de los contratos de convocatorias del SICEP para el mercado regulado,2023-09-30T11:37:18.793,2025-12-02T08:25:25.283,2023-09-01T00:00:00,2030-11-01T00:00:00,2025-04-29T15:39:26.777,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=3cf0d1,https://www.simem.co/datadetail/3cf0d107-aa48-40e0-a83a-cd1a5b5ad8e5,Público
252E2F,Deltas holgura arriba y abajo horarias,2023-09-28T20:27:03.407,2025-12-13T10:28:55.77,2021-01-09T00:00:00,2025-12-07T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=252E2F,https://www.simem.co/datadetail/252e2f0f-ecac-41aa-9a18-cdd081e728da,Público
497f97,Programa de normalización de redes eléctricas (PRONE),2025-11-06T13:52:31.083,2025-12-11T10:13:48.57,2025-07-01T00:00:00,2025-10-01T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=497f97,https://www.simem.co/datadetail/497f9785-09de-4000-b6ba-cddc1cc86e47,Público
