Embalse;Periodo;Codigo EC;Caudal;Codigo EP;Precipitacion;Ln(c);Ln(p)
;2023-1s;3103490;47.4343153865847;;;3.85934592007672;
;2023-2s;3103490;47.7270449820789;;;3.86549821797781;
;2024-1s;3103490;36.4600907211717;;;3.59621825748581;
;2024-2s;3103490;;;;;
;2025-1s;3103490;;;;;
;2015-1s;3103500;2238.795609319;;;7.71369332583921;
;2015-2s;3103500;1430.62677419355;;;7.26586793085883;
;2016-1s;3103500;1446.1079793536;;;7.2766310744491;
;2016-2s;3103500;2014.27255591398;;;7.60801339476464;
;2017-1s;3103500;2936.12003733999;;;7.98484427355124;
;2017-2s;3103500;1969.57560268817;;;7.58557336841611;
;2018-1s;3103500;2498.89860230415;;;7.82360535470329;
;2018-2s;3103500;2220.55423996416;;;7.70551210134856;
;2019-1s;3103500;2378.56998782642;;;7.77425474063447;
;2019-2s;3103500;1760.48225824373;;;7.47334306086397;
;2020-1s;3103500;1562.36703768385;;;7.35395728210736;
;2020-2s;3103500;2009.2847046595;;;7.60553406938835;
;2021-1s;3103500;2334.74739957757;;;7.75565898419868;
;2021-2s;3103500;2485.87046684588;;;7.81837816566321;
;2022-1s;3103500;2691.65862387353;;;7.89791287138368;
;2022-2s;3103500;2710.87134516129;;;7.905025391774;
;2023-1s;3103500;2355.52711955965;;;7.76451981136597;
;2023-2s;3103500;1593.60410609319;;;7.37375346344172;
;2024-1s;3103500;1709.08037924855;;;7.44371071492271;
;2024-2s;3103500;1639.98356756272;;;7.40244150098922;
;2025-1s;3103500;;;;;
;2015-1s;3103520;53.7601405529954;;;3.98453231066452;
;2015-2s;3103520;25.002376344086;;;3.21897087411432;
;2016-1s;3103520;66.7947574280064;;;4.20162459584609;
;2016-2s;3103520;62.2814862007169;;;4.13166420989105;
;2017-1s;3103520;129.533616474654;;;4.86394043412967;
;2017-2s;3103520;37.1823709677419;;;3.615834750237;
;2018-1s;3103520;88.1514575268817;;;4.47905644332864;
;2018-2s;3103520;51.2284620071685;;;3.9362952761686;
;2019-1s;3103520;73.3452916026626;;;4.29517831169926;
;2019-2s;3103520;23.5993272401434;;;3.16121820485165;
;2020-1s;3103520;13.8653021196391;;;2.62938946892332;
;2020-2s;3103520;26.6009903225806;;;3.28094844526683;
;2021-1s;3103520;60.6802681387609;;;4.10561857336907;
;2021-2s;3103520;56.8415102150538;;;4.04026687245816;
;2022-1s;3103520;74.8675165514593;;;4.31572010555033;
;2022-2s;3103520;44.9474132616487;;;3.80549321224613;
;2023-1s;3103520;77.2219494623656;;;4.34668373608031;
;2023-2s;3103520;35.1547399641577;;;3.5597594587857;
;2024-1s;3103520;51.2666162093684;;;3.93703978419037;
;2024-2s;3103520;;;;;
;2025-1s;3103520;;;;;
;2015-1s;3103530;53.5734028417819;;;3.98105272928264;
;2015-2s;3103530;32.7292125448029;;;3.48826802909757;
;2016-1s;3103530;39.3685533802991;;;3.67296736006667;
;2016-2s;3103530;64.2117745519713;;;4.16218659811573;
;2017-1s;3103530;99.2683477470558;;;4.59782676643225;
;2017-2s;3103530;59.5295408602151;;;4.08647267438929;
;2018-1s;3103530;108.566425691244;;;4.68736220400379;
;2018-2s;3103530;70.6936268817204;;;4.2583554257237;
;2019-1s;3103530;97.6521153353815;;;4.58141131950876;
;2019-2s;3103530;52.223214874552;;;3.95552712542333;
;2020-1s;3103530;43.3831186379928;;;3.77007039396251;
;2020-2s;3103530;70.198902688172;;;4.25133267968698;
;2021-1s;3103530;99.0238637992832;;;4.59536086956468;
;2021-2s;3103530;89.5634621863799;;;4.49494744871427;
;2022-1s;3103530;;;;;
;2022-2s;3103530;;;;;
;2023-1s;3103530;;;;;
;2023-2s;3103530;;;;;
;2024-1s;3103530;;;;;
;2024-2s;3103530;;;;;
;2025-1s;3103530;;;;;
